#l b boxsize ext_law ejk ak error_ejk
5.0000 5.0000 2 2 0.3700 0.1953 0.1008
5.0000 4.9500 2 2 0.3805 0.2010 0.1027
5.0000 4.8990 2 2 0.3665 0.1938 0.1039
5.0000 4.8490 2 2 0.3640 0.1923 0.1022
5.0000 4.7990 2 2 0.3713 0.1960 0.0963
5.0000 4.7490 2 2 0.3835 0.2025 0.0984
5.0000 4.6980 2 2 0.4152 0.2195 0.1003
5.0000 4.6480 2 2 0.4150 0.2190 0.1081
5.0000 4.5980 2 2 0.4175 0.2208 0.1100
5.0000 4.5480 2 2 0.4475 0.2362 0.1106
5.0000 4.4970 2 2 0.4590 0.2422 0.1028
5.0000 4.4470 2 2 0.4227 0.2233 0.1041
5.0000 4.3970 2 2 0.4257 0.2248 0.1013
5.0000 4.3470 2 2 0.4670 0.2465 0.1022
5.0000 4.2960 2 2 0.4550 0.2402 0.0967
5.0000 4.2460 2 2 0.4435 0.2345 0.1168
5.0000 4.1960 2 2 0.4460 0.2355 0.1045
5.0000 4.1460 2 2 0.3880 0.2047 0.1013
5.0000 4.0950 2 2 0.3548 0.1873 0.0938
5.0000 4.0450 2 2 0.3665 0.1938 0.0964
5.0000 3.9950 2 2 0.3710 0.1960 0.1007
5.0000 3.9450 2 2 0.4255 0.2248 0.1025
5.0000 3.8940 2 2 0.4395 0.2320 0.1072
5.0000 3.8440 2 2 0.4335 0.2288 0.0977
5.0000 3.7940 2 2 0.4267 0.2253 0.1008
5.0000 3.7440 2 2 0.4150 0.2193 0.1055
5.0000 3.6930 2 2 0.4288 0.2265 0.1016
5.0000 3.6430 2 2 0.4768 0.2515 0.0980
5.0000 3.5930 2 2 0.5385 0.2843 0.1042
5.0000 3.5430 2 2 0.5907 0.3117 0.1045
5.0000 3.4920 2 2 0.5767 0.3045 0.1051
5.0000 3.4420 2 2 0.5830 0.3078 0.1062
5.0000 3.3920 2 2 0.5135 0.2712 0.1021
5.0000 3.3420 2 2 0.4988 0.2632 0.0992
5.0000 3.2910 2 2 0.5023 0.2652 0.1041
5.0000 3.2410 2 2 0.4640 0.2450 0.1043
5.0000 3.1910 2 2 0.4440 0.2345 0.1049
5.0000 3.1410 2 2 0.4450 0.2350 0.1005
5.0000 3.0900 2 2 0.4145 0.2190 0.1028
5.0000 3.0400 2 2 0.3957 0.2087 0.1000
5.0000 2.9900 2 2 0.4025 0.2125 0.1039
5.0000 2.9400 2 2 0.4085 0.2157 0.0996
5.0000 2.8890 2 2 0.4075 0.2150 0.1051
5.0000 2.8390 2 2 0.3915 0.2070 0.1008
5.0000 2.7890 2 2 0.3845 0.2030 0.0987
5.0000 2.7390 2 2 0.3995 0.2110 0.1016
5.0000 2.6880 2 2 0.3900 0.2060 0.1027
5.0000 2.6380 2 2 0.3920 0.2075 0.1046
5.0000 2.5880 2 2 0.4730 0.2500 0.1012
5.0000 2.5380 2 2 0.4790 0.2530 0.1070
5.0000 2.4870 2 2 0.4255 0.2250 0.1010
5.0000 2.4370 2 2 0.4475 0.2365 0.1042
5.0000 2.3870 2 2 0.4540 0.2400 0.1118
5.0000 2.3370 2 2 0.4595 0.2425 0.1292
5.0000 2.2860 2 2 0.6095 0.3220 0.1674
5.0000 2.2360 2 2 0.5600 0.2950 0.1156
5.0000 2.1860 2 2 0.4995 0.2635 0.1097
5.0000 2.1360 2 2 0.4750 0.2510 0.1079
5.0000 2.0850 2 2 0.5375 0.2840 0.1209
5.0000 2.0350 2 2 0.5125 0.2705 0.1127
5.0000 1.9850 2 2 0.5705 0.3015 0.1178
5.0000 1.9350 2 2 0.5770 0.3050 0.1149
5.0000 1.8840 2 2 0.6370 0.3365 0.1168
5.0000 1.8340 2 2 0.6337 0.3347 0.1152
5.0000 1.7840 2 2 0.6692 0.3532 0.1190
5.0000 1.7340 2 2 0.6765 0.3572 0.1092
5.0000 1.6830 2 2 0.6730 0.3552 0.1051
5.0000 1.6330 2 2 0.7160 0.3783 0.1143
5.0000 1.5830 2 2 0.7730 0.4083 0.1252
